overture_id	name
ba78343a-5f74-4e14-a5f0-fa2449041428	TAVILOCKS-Casa das Chaves-Comércio E Serviços
bac7ec11-9773-4d56-83c1-bc12049b6996	Horta lá de casa
bb25f4f2-f343-4725-a458-69320fa894fc	Casa Amo-te Olhão
bbddf7b7-20e9-47bc-bb5f-b24d7540f3f3	Casa China
bcc56c63-c580-4611-abd9-0a172cc35b8e	Casa dos Enxovais José da Cunha Marques
bdd63f10-4245-4234-8816-54fc88816362	Casa de Campo Zambeek
bf2a9c4d-66c5-405d-88e6-529ac094bac7	Casa Soares - Produtos de Higiene e Limpeza
c025f273-e54d-4de5-8397-0add2f0f97c1	Casa Martins
c244b00b-41d2-4db6-bc96-4b9dbb1d80d7	Casa de Luxo
c2caf1a6-b2a2-4038-90f7-35bc33037176	Casa Sónia
c380f6b3-3dbf-455c-b65a-b4ca7543e6ab	É, com certeza uma... Casa Portuguesa
c390fe48-ad1e-4b48-88c4-5390e03ab7ec	CASA Ferreira
c42a3d9f-5093-49be-a574-6812c360dabd	Casa Beirão
c48d0c68-209e-4bc2-9b50-f2b9920b4953	Casa Alegre Europe
c4e28e2a-71ea-479e-a392-9654cfccbd55	House of Bread -  Ministério Casa do Pão
c4e9ef1d-ecd5-4548-8f6e-9d87dc551f4b	Casa do Croy
c7109052-b816-49a8-9e92-3d1ff25151a3	Casa Oliva - M.C. Reis Filhos & Ca Lda
c8dcb64e-f414-4d52-8267-643c8958f68d	Loja da Casa, Decorações, Unpessoal
c912d137-f4cd-41ca-92ea-41914d18446b	CASA, arquitectura
c95690e9-9c4b-4e8c-8878-cfbcd90d10c3	Casa Do Agricultor
c95f7fe3-08de-4668-9ae8-4e3eac5aebed	Casa Fofinha
c99bdc1c-e1ff-4499-91ab-a2cb1c2baa02	Casa Paixão
ca351bce-67f8-4730-9a4a-572379368933	Casa dos Croissants
caf774a6-1952-45e8-a211-ed8522e49a81	Os Ferreiras - Casa d'Sands
cde638ae-3869-42dc-b372-c43db80d909f	Casa Mimo
cdf6d14e-d43b-4237-8d5d-b8cb04abb0a9	Casa das Tapeçarias
ce5b3350-3f3a-409a-9250-e74cb32709df	Casa da Lagoa
cf862065-a9d3-4e11-91bf-dfe8d2d45d93	Casa da Prelada
cfa686a4-6285-4b1e-8eb6-3a5620a09a84	Casa Povo Luz Tavira
cfb88bf9-f075-4eba-8fde-8f84d8ddc966	Casa Benfica Castro Verde
d089681d-5add-439b-9248-589c6cd15b53	Casa do pão
d25127d5-580b-4c23-ade6-8c2079f46769	Casa Nostra Puro Algodão
d3c94432-ec82-4054-b551-546bfcdb9e37	Casa das Pedras
d40b8990-b421-4f5e-b5ab-52eb4e959b97	18.21 Houses - Casa de São Domingos
d4e0628b-0a11-4b58-9f3c-86a046a13c24	Casa FC Porto Rio Tinto
d5203a26-6776-4d2a-ae1a-8794d546aed5	Terreiro de Umbanda Casa de Xangô e Iansã
d53da6e1-cede-456d-bc8e-0e577d03102e	Casa Ferrão
d5c95908-ac6d-4545-bd69-4804a52a0023	Casa Barreiros ( Dino )
d7a3241c-28eb-4045-be0f-c2e294ebc66e	Casa Das Coisas
d7f3c623-1eb8-4cd5-b2e3-8852275a7ce0	Grupo Desportivo da Casa de Povo da Vila de São Sebastião
d88b4a7d-9e8b-453a-be25-06361a0ef37d	Casa da Cerca
d88de7a3-e01d-4f64-8b50-08113588d634	Casa das Fraldas da Higimax
d99a34b1-b5f1-4ce9-aedc-7c02236271df	A casa dos panados
dada98df-a17c-45a3-97e4-7d22b8d5634c	Hiper casa
db3fced2-6e1e-4cd2-aab8-129b1a57ad0c	18.21 Houses - Casa de São Paulo
dc2c3aeb-aa55-4c37-9ac0-5459c3a0e274	EM CASA
dd565d9e-c57d-480d-84e8-54a754e59c0e	Casa Pompom
de186f22-c463-4829-aedc-bdd9bbf2c1a2	Casa Pereira
df205684-679c-421f-8b93-1eb072005ef2	Casa de s.pedro turismo rural
df7ba441-59d2-40ef-bf6c-24fcd86899f3	CASA NOWA
e39988f4-bbe2-4917-8096-a76a17a311d6	Casa Teresa Novo
e3e47521-1281-4295-900d-f550badc8232	Casa Campeão - Tintas, Isolamentos e Revestimentos
e455db42-9e79-4348-99fc-f36a99b6bc02	Casa Azul Comporta
e4811984-79e1-42e0-9e1a-f1314775dcbb	Casa do Remoinhal
e51e1ec8-ce08-4d61-9cd7-b0fd39bb8658	Casa Nomad Lifestyle Concept
e6762e88-e5e3-4927-a35e-6e1aa043e52c	Casa dos Meões
e75751ff-873a-469a-accf-d3abc33d8b9c	Casa Flor de Sal - Family Room with Sea View
e7eb36b2-f5b3-4df7-bf67-1f68832d4fe9	Casa Portugal - Tudo Para o Seu Lar
e8174f72-ceec-4acc-8572-1c4058f6f7ba	Casa Mila
e81940c5-a96f-4636-a840-471a398f3933	Fertini Casa
e93079a6-6690-44ee-9606-88527cbfbeb7	Casa das Gaeiras
ea0ab269-364c-4d84-9156-e482b3ff607e	Primeira Casa das Bandeiras
ea52848f-f5fa-4e56-98fd-0ea07ebf2953	Casa do Concelho de Vila Velha de Ródão
ea6df0e4-7a6e-4f33-8a6c-d8a7b577fedc	Casa Arrais
eacfd5aa-6573-4ea1-8ff8-5c4fbc042601	Casa das Natas
ebf7970a-d5fd-4ca1-98fb-6cc986078f12	Casa dos Linhos
ec06b6db-d2e9-4ff6-ac97-c7f91a3ddb28	Fundação Romão de Sousa - Casa de Alba
