head	display_name	rows	in_shopping	poi_type	store_kind	concentration	majority_category	categories	already_in_dictionary
minipreco	Minipreço	292	16	store	any	0.996	discount_store	discount_store:273|shopping:16|wholesale_store:1|superstore:1|sunglasses_store:1	False
parfois	Parfois	158	0	store	fashion_accessories	0.911	fashion_accessories_store	fashion_accessories_store:144|clothing_store:11|womens_clothing_store:2|jewelry_store:1	True
opticas multiopticas	Ópticas MultiOpticas	112	12	store	eyewear_and_optician	0.93	eyewear_and_optician	eyewear_and_optician:93|shopping:12|sunglasses_store:5|hobby_shop:1|hearing_aid_provider:1	False
sport zone	Sport Zone	100	14	store	sports	0.895	sports_wear	sports_wear:55|sporting_goods:21|shopping:14|bicycle_shop:5|outdoor_gear:1|shoe_store:1|home_goods_store:1|gift_shop:1|childrens_clothing_store:1	True
united colors	United Colors	96	0	store	clothing	0.979	clothing_store	clothing_store:94|childrens_clothing_store:1|womens_clothing_store:1	True
multiopticas	MultiOpticas	87	3	store	eyewear_and_optician	0.988	eyewear_and_optician	eyewear_and_optician:83|shopping:3|jewelry_store:1	True
intimissimi	Intimissimi	75	0	store	clothing	0.693	clothing_store	clothing_store:52|lingerie_store:16|designer_clothing:3|womens_clothing_store:2|mens_clothing_store:2	True
worten	Worten	72	0	store	electronics	0.972	electronics	electronics:39|appliance_store:31|furniture_store:2	True
radio popular	Radio Popular	69	0	store	electronics	1.0	electronics	electronics:45|appliance_store:23|computer_store:1	True
leroy merlin	Leroy Merlin	65	6	store	hardware	0.966	do_it_yourself_store	do_it_yourself_store:28|hardware_store:14|building_supply_store:12|shopping:6|home_improvement_store:3|arts_and_crafts:1|home_goods_store:1	True
lanidor woman	Lanidor Woman	61	0	store	womens_clothing	0.836	womens_clothing_store	womens_clothing_store:51|childrens_clothing_store:5|clothing_store:4|designer_clothing:1	True
bershka	Bershka	60	0	store	clothing	0.933	clothing_store	clothing_store:56|womens_clothing_store:2|shoe_store:1|mens_clothing_store:1	True
perfumes companhia	Perfumes &	60	17	store	beauty	0.884	cosmetic_and_beauty_supplies	cosmetic_and_beauty_supplies:24|shopping:17|perfume_store:10|hair_supply_stores:4|fashion:3|gift_shop:1|clothing_store:1	True
lidl	Lidl	60	0	store	any	1.0	discount_store	discount_store:60	False
opticalia	Opticalia	56	36	store	eyewear_and_optician	0.95	eyewear_and_optician	shopping:36|eyewear_and_optician:19|sunglasses_store:1	True
audika	Audika	55	0	store	hearing_aid_provider	1.0	hearing_aid_provider	hearing_aid_provider:55	False
pull bear	Pull &	53	0	store	clothing	0.981	clothing_store	clothing_store:52|mens_clothing_store:1	True
springfield	Springfield	48	0	store	clothing	0.958	clothing_store	clothing_store:46|mens_clothing_store:2	True
mais optica	Mais Optica	46	6	store	eyewear_and_optician	0.925	eyewear_and_optician	eyewear_and_optician:37|shopping:6|fashion_accessories_store:1|sunglasses_store:1|photography_store_and_services:1	True
kiko milano	Kiko Milano	45	22	store	beauty	0.87	cosmetic_and_beauty_supplies	shopping:22|cosmetic_and_beauty_supplies:20|clothing_store:1|jewelry_store:1|designer_clothing:1	True
massimo dutti	Massimo Dutti	45	0	store	mens_clothing	0.844	mens_clothing_store	mens_clothing_store:38|clothing_store:7	True
tezenis	Tezenis	45	0	store	clothing	0.622	clothing_store	clothing_store:28|lingerie_store:12|childrens_clothing_store:3|womens_clothing_store:2	True
jd sports	JD Sports	42	0	store	sports	0.714	sports_wear	sports_wear:17|sporting_goods:13|shoe_store:7|clothing_store:5	True
tiffosi	Tiffosi	42	0	store	clothing	0.81	clothing_store	clothing_store:34|mens_clothing_store:4|boutique:2|womens_clothing_store:2	True
zara	Zara	41	0	store	clothing	0.829	clothing_store	clothing_store:34|womens_clothing_store:4|childrens_clothing_store:3	True
kiwoko mundo	Kiwoko. Mundo	36	0	store	pet	1.0	pet_store	pet_store:36	True
claire s	Claire's	36	6	store	fashion_accessories	0.9	fashion_accessories_store	fashion_accessories_store:27|shopping:6|clothing_store:2|costume_store:1	True
stradivarius	Stradivarius	36	0	store	womens_clothing	0.694	womens_clothing_store	womens_clothing_store:25|clothing_store:11	True
levi s	Levi's	36	1	store	clothing	0.943	clothing_store	clothing_store:33|mens_clothing_store:2|shopping:1	True
sunglass hut	Sunglass Hut	35	0	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:35	True
pandora	Pandora	35	0	store	jewelry	0.971	jewelry_store	jewelry_store:34|gift_shop:1	True
acustica medica	ACÚSTICA MÉDICA	35	0	store	hearing_aid_provider	0.971	hearing_aid_provider	hearing_aid_provider:34|gift_shop:1	False
chicco	Chicco	34	0	store	childrens_clothing	0.971	childrens_clothing_store	childrens_clothing_store:33|clothing_store:1	True
bertrand	Bertrand	34	0	store	books	1.0	bookstore	bookstore:34	True
rituals	Rituals	33	8	store	beauty	0.96	cosmetic_and_beauty_supplies	cosmetic_and_beauty_supplies:23|shopping:8|perfume_store:1|childrens_clothing_store:1	True
the body	The Body	32	1	store	beauty	1.0	cosmetic_and_beauty_supplies	cosmetic_and_beauty_supplies:23|perfume_store:7|shopping:1|hair_supply_stores:1	False
alain afflelou	Alain Afflelou	32	7	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:25|shopping:7	True
lefties	Lefties	32	0	store	clothing	1.0	clothing_store	clothing_store:32	True
viva	Viva	31	0	store	home	1.0	home_goods_store	home_goods_store:31	False
balvera perfumarias	Balvera Perfumarias	31	2	store	beauty	1.0	perfume_store	perfume_store:29|shopping:2	True
tedi comercio	TEDi Comércio	29	0	store	any	1.0	discount_store	discount_store:29	False
salsa	Salsa	29	0	store	clothing	0.966	clothing_store	clothing_store:28|womens_clothing_store:1	True
mr blue	Mr. Blue	28	0	store	mens_clothing	0.929	mens_clothing_store	mens_clothing_store:26|clothing_store:2	True
tiendanimal	Tiendanimal	28	0	store	pet	1.0	pet_store	pet_store:28	True
oysho	Oysho	26	0	store	lingerie	0.654	lingerie_store	lingerie_store:17|womens_clothing_store:9	False
doggyrade	DoggyRade	26	0	store	pet	1.0	pet_store	pet_store:26	True
norte moda	Norte Moda	26	0	store	clothing	0.885	clothing_store	clothing_store:23|womens_clothing_store:2|childrens_clothing_store:1	True
ptn store	Ptn Store	26	1	store	clothing	0.84	clothing_store	clothing_store:21|fashion:2|shopping:1|shoe_store:1|womens_clothing_store:1	True
staples	Staples	26	0	store	office_equipment	1.0	office_equipment	office_equipment:26	True
celeiro	Celeiro	26	0	store	health_food	1.0	health_food_store	health_food_store:26	False
douglas	Douglas	25	0	store	beauty	1.0	perfume_store	perfume_store:25	True
mayoral loja	Mayoral -	25	0	store	childrens_clothing	1.0	childrens_clothing_store	childrens_clothing_store:25	True
vodafone	Vodafone	24	1	store	phone	0.826	mobile_phone_store	mobile_phone_store:19|computer_store:2|electronics:2|shopping:1	True
calcado guimaraes	Calçado Guimarães	24	2	store	shoes	0.864	shoe_store	shoe_store:19|clothing_store:3|shopping:2	True
pepco	Pepco	24	0	store	clothing	1.0	clothing_store	clothing_store:24	True
livraria bertrand	Livraria Bertrand	23	0	store	books	1.0	bookstore	bookstore:23	False
ale hop	Ale-Hop	23	1	store	gift	0.773	gift_shop	flowers_and_gifts_shop:10|gift_shop:7|office_equipment:1|souvenir_shop:1|fashion_accessories_store:1|department_store:1|shopping:1|hobby_shop:1	False
la casa	La Casa	23	0	store	phone	0.957	mobile_phone_store	mobile_phone_store:22|tobacco_shop:1	False
homa	hôma	22	1	store	home	0.952	home_decor	home_decor:16|home_goods_store:4|furniture_store:1|shopping:1	True
seaside	Seaside	22	0	store	shoes	0.955	shoe_store	shoe_store:21|department_store:1	True
pepe jeans	Pepe Jeans	22	0	store	clothing	0.909	clothing_store	clothing_store:20|designer_clothing:2	True
widex centro	Widex Centro	22	0	store	hearing_aid_provider	1.0	hearing_aid_provider	hearing_aid_provider:22	False
auto pecas	Auto Peças	22	2	store	auto_parts_and_supply	1.0	auto_parts_and_supply_store	auto_parts_and_supply_store:20|shopping:2	False
boss store	BOSS Store	22	0	store	clothing	0.636	clothing_store	clothing_store:14|childrens_clothing_store:7|mens_clothing_store:1	False
samsonite	Samsonite	22	2	store	luggage	0.8	luggage_store	luggage_store:16|handbag_stores:3|shopping:2|clothing_store:1	False
sephora	Sephora	22	2	store	beauty	1.0	cosmetic_and_beauty_supplies	cosmetic_and_beauty_supplies:19|shopping:2|hair_supply_stores:1	True
humana	HUMANA	22	0	store	thrift	0.864	thrift_store	thrift_store:19|clothing_store:3	True
sports direct	Sports Direct	22	1	store	sports	1.0	sporting_goods	sporting_goods:19|sports_wear:2|shopping:1	True
fnac	FNAC	21	0	store	electronics	0.857	electronics	electronics:18|department_store:1|shoe_store:1|books_mags_music_and_video:1	True
bimba y	BIMBA Y	21	0	store	clothing	0.667	clothing_store	clothing_store:14|womens_clothing_store:5|childrens_clothing_store:2	False
pluricosmetica	Pluricosmética	21	0	store	beauty	1.0	cosmetic_and_beauty_supplies	cosmetic_and_beauty_supplies:11|perfume_store:9|hair_supply_stores:1	False
tous	Tous	21	2	store	jewelry	0.895	jewelry_store	jewelry_store:17|shopping:2|gift_shop:1|newspaper_and_magazines_store:1	True
sacoor brothers	Sacoor Brothers	20	0	store	clothing	0.95	clothing_store	clothing_store:19|mens_clothing_store:1	True
wurth portugal	Wurth Portugal	20	0	store	hardware	1.0	building_supply_store	building_supply_store:19|hardware_store:1	True
garrafeira soares	Garrafeira Soares	20	1	store	wine_and_spirits	1.0	liquor_store	liquor_store:19|shopping:1	False
triumph	Triumph	20	0	store	lingerie	0.8	lingerie_store	lingerie_store:16|womens_clothing_store:3|clothing_store:1	True
tous jewelry	Tous Jewelry	19	0	store	jewelry	1.0	jewelry_store	jewelry_store:19	True
decenio	Decenio	19	0	store	clothing	0.895	clothing_store	clothing_store:17|mens_clothing_store:2	True
livraria e	Livraria e	19	0	store	books	0.895	bookstore	bookstore:17|office_equipment:1|comic_books_store:1	False
kid to	Kid to	18	2	store	childrens_clothing	0.75	childrens_clothing_store	childrens_clothing_store:12|clothing_store:2|thrift_store:2|shopping:2	False
toys r	Toys R	18	0	store	toys	0.833	toy_store	toy_store:15|hobby_shop:3	True
stone by	Stone by	18	0	store	jewelry	1.0	jewelry_store	jewelry_store:18	False
primark	Primark	18	0	store	clothing	0.778	clothing_store	clothing_store:14|childrens_clothing_store:2|gift_shop:2	True
action	Action	18	0	store	any	0.944	discount_store	discount_store:15|wholesale_store:2|electronics:1	False
omb grupo	OMB Grupo	18	7	store	eyewear_and_optician	0.727	eyewear_and_optician	eyewear_and_optician:8|shopping:7|photography_store_and_services:3	False
iuman intimissimi	IUMAN Intimissimi	17	0	store	clothing	0.941	clothing_store	clothing_store:16|lingerie_store:1	False
mac cosmetics	MAC Cosmetics	17	0	store	beauty	1.0	cosmetic_and_beauty_supplies	cosmetic_and_beauty_supplies:17	True
manuel alves	Manuel Alves	17	0	store	shoes	0.882	shoe_store	shoe_store:15|appliance_store:1|clothing_store:1	False
foot locker	Foot Locker	16	0	store	shoes	1.0	shoe_store	shoe_store:16	True
ana sousa	Ana Sousa	16	0	store	womens_clothing	1.0	womens_clothing_store	womens_clothing_store:16	True
lacoste	Lacoste	16	0	store	clothing	0.875	clothing_store	clothing_store:14|womens_clothing_store:1|childrens_clothing_store:1	True
optic 1	OPTIC 1	16	0	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:16	True
optica medica	Óptica Médica	16	1	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:15|shopping:1	False
valores	Valores	15	0	store	jewelry	1.0	jewelry_store	jewelry_store:15	False
lanidor kids	Lanidor Kids	15	1	store	childrens_clothing	0.786	childrens_clothing_store	childrens_clothing_store:11|clothing_store:2|shopping:1|womens_clothing_store:1	True
chip7	Chip7	14	0	store	electronics	1.0	electronics	electronics:7|computer_store:7	True
worten mobile	Worten Mobile	14	1	store	phone	0.692	mobile_phone_store	mobile_phone_store:9|appliance_store:4|shopping:1	True
urban obras	Urban Obras	14	0	store	hardware	1.0	home_improvement_store	home_improvement_store:14	False
misako	MISAKO	14	0	store	handbag	0.857	handbag_stores	handbag_stores:12|fashion_accessories_store:1|designer_clothing:1	True
perfumes e	Perfumes e	14	1	store	beauty	1.0	cosmetic_and_beauty_supplies	cosmetic_and_beauty_supplies:9|perfume_store:2|hair_supply_stores:2|shopping:1	False
normal	Normal	14	8	store	any	0.667	discount_store	shopping:8|discount_store:3|perfume_store:2|outlet_store:1	True
ikea	IKEA	13	8	store	furniture	0.8	furniture_store	shopping:8|furniture_store:4|jewelry_store:1	True
create business	Create Business	13	0	store	auto_parts_and_supply	1.0	auto_parts_and_supply_store	auto_parts_and_supply_store:13	False
garrafeira do	Garrafeira do	13	0	store	wine_and_spirits	1.0	liquor_store	liquor_store:13	False
salsa jeans	Salsa Jeans	13	0	store	clothing	1.0	clothing_store	clothing_store:13	True
desigual	Desigual	13	0	store	clothing	0.615	clothing_store	clothing_store:8|womens_clothing_store:4|shoe_store:1	False
snipes	SNIPES	13	1	store	shoes	1.0	shoe_store	shoe_store:12|shopping:1	True
planeta d	Planeta D	13	0	store	sports	0.846	sporting_goods	sporting_goods:7|sports_wear:4|outlet_store:1|clothing_store:1	False
quinta do	Quinta do	12	3	store	wine_and_spirits	0.667	liquor_store	liquor_store:6|shopping:3|pet_store:1|bookstore:1|fashion:1	False
deborla	DeBorla	12	6	store	any	0.667	department_store	shopping:6|department_store:2|discount_store:2|hardware_store:1|flowers_and_gifts_shop:1	False
livraria papelaria	Livraria Papelaria	12	0	store	books	0.667	bookstore	bookstore:8|office_equipment:3|comic_books_store:1	False
my auchan	My Auchan	12	3	store	any	0.778	discount_store	discount_store:7|shopping:3|electronics:1|furniture_store:1	False
ourivesaria e	Ourivesaria e	12	1	store	jewelry	0.909	jewelry_store	jewelry_store:10|photography_store_and_services:1|shopping:1	False
deichmann	Deichmann	12	0	store	shoes	1.0	shoe_store	shoe_store:12	True
optivisao	Optivisão	12	0	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:12	True
alberto oculista	Alberto Oculista	11	0	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:11	False
morgan	Morgan	11	0	store	clothing	0.636	clothing_store	clothing_store:7|womens_clothing_store:4	False
optica da	Óptica da	11	0	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:11	False
l occitane	L'Occitane en	11	8	store	beauty	1.0	perfume_store	shopping:8|perfume_store:3	True
zippy kidstore	Zippy Kidstore	11	2	store	childrens_clothing	0.889	childrens_clothing_store	childrens_clothing_store:8|shopping:2|baby_gear_and_furniture:1	True
bike zone	Bike Zone	11	1	store	bicycle	1.0	bicycle_shop	bicycle_shop:10|shopping:1	True
nicolau rosa	Nicolau &	11	0	store	hardware	1.0	building_supply_store	building_supply_store:11	False
modalfa	Modalfa	11	0	store	clothing	0.727	clothing_store	clothing_store:8|boutique:1|womens_clothing_store:1|superstore:1	False
triumph lingerie	Triumph Lingerie	11	0	store	lingerie	0.909	lingerie_store	lingerie_store:10|childrens_clothing_store:1	True
zara home	Zara Home	11	0	store	furniture	1.0	furniture_store	furniture_store:11	True
adega cooperativa	Adega Cooperativa	11	0	store	wine_and_spirits	1.0	liquor_store	liquor_store:11	False
confort electrodomesticos	Confort Electrodomésticos	11	2	store	electronics	1.0	appliance_store	appliance_store:8|shopping:2|electronics:1	False
ericeira surf	Ericeira Surf	10	0	store	sports	0.8	surf_shop	surf_shop:5|sporting_goods:2|clothing_store:1|skate_shop:1|hobby_shop:1	False
havaianas	Havaianas	10	1	store	shoes	1.0	shoe_store	shoe_store:9|shopping:1	True
ergovisao	Ergovisão	10	1	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:9|shopping:1	True
scalpers	Scalpers	10	0	store	clothing	0.8	clothing_store	clothing_store:8|electronics:1|shoe_store:1	True
geox	Geox	10	0	store	shoes	1.0	shoe_store	shoe_store:10	True
gms store	GMS Store	10	0	store	electronics	0.7	electronics	electronics:7|mobile_phone_store:3	True
quebramar	Quebramar	10	0	store	clothing	0.9	clothing_store	clothing_store:9|boutique:1	True
new yorker	New Yorker	10	0	store	clothing	0.6	clothing_store	clothing_store:6|childrens_clothing_store:4	False
jysk portugal	JYSK Portugal	10	0	store	furniture	1.0	furniture_store	furniture_store:10	True
kiko store	Kiko Store	10	0	store	beauty	1.0	perfume_store	perfume_store:10	False
perfumaria equivalenza	Perfumaria Equivalenza,	10	0	store	beauty	1.0	perfume_store	perfume_store:8|cosmetic_and_beauty_supplies:1|hair_supply_stores:1	False
mike davis	Mike Davis	10	2	store	clothing	0.875	clothing_store	clothing_store:7|shopping:2|jewelry_store:1	True
ourivesaria silva	Ourivesaria Silva	10	0	store	jewelry	1.0	jewelry_store	jewelry_store:10	False
chateau d	Chateau d'Ax	9	7	store	furniture	1.0	furniture_store	shopping:7|furniture_store:2	True
tabacaria da	Tabacaria da	9	0	store	tobacco	1.0	tobacco_shop	tobacco_shop:9	False
cortefiel	Cortefiel	9	0	store	clothing	0.778	clothing_store	clothing_store:7|boutique:2	True
optica do	Óptica do	9	2	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:7|shopping:2	False
garrafeira da	Garrafeira da	9	2	store	wine_and_spirits	1.0	liquor_store	liquor_store:7|shopping:2	False
switch technology	Switch Technology	9	1	store	electronics	0.875	computer_store	computer_store:5|electronics:2|shopping:1|hearing_aid_provider:1	False
dona erago	Dona Erago	9	0	store	lingerie	0.889	lingerie_store	lingerie_store:8|childrens_clothing_store:1	True
timberland	Timberland	9	0	store	shoes	0.778	shoe_store	shoe_store:7|clothing_store:2	False
decathlon	Decathlon	9	0	store	sports	1.0	sporting_goods	sporting_goods:9	True
antarte	Antarte	9	0	store	furniture	1.0	furniture_store	furniture_store:9	True
furla	Furla	9	0	store	fashion_accessories	0.778	fashion_accessories_store	fashion_accessories_store:7|childrens_clothing_store:1|jewelry_store:1	False
blukids	Blukids	9	0	store	clothing	0.778	clothing_store	clothing_store:7|childrens_clothing_store:2	False
spot	SPOT	9	0	store	shoes	1.0	shoe_store	shoe_store:9	False
bijou brigitte	Bijou Brigitte	9	0	store	jewelry	0.667	jewelry_store	jewelry_store:6|flowers_and_gifts_shop:2|gift_shop:1	True
purificacion garcia	Purificacion Garcia	9	0	store	clothing	0.889	clothing_store	clothing_store:8|boutique:1	True
materiais de	Materiais de	9	0	store	hardware	1.0	building_supply_store	building_supply_store:9	False
joao vilas	João Vilas	9	0	store	mens_clothing	0.889	mens_clothing_store	mens_clothing_store:8|clothing_store:1	True
tabacaria do	Tabacaria do	8	0	store	tobacco	0.875	tobacco_shop	tobacco_shop:7|shoe_store:1	False
consultorio veterinario	Consultório Veterinário	8	0	store	pet	0.875	pet_store	pet_store:7|handbag_stores:1	False
quinta de	Quinta de	8	2	store	wine_and_spirits	0.833	liquor_store	liquor_store:5|shopping:2|sporting_goods:1	False
samsic facility	SAMSIC FACILITY	8	0	store	home	0.875	home_goods_store	home_goods_store:7|auto_parts_and_supply_store:1	False
prof	Prof	8	0	store	shoes	1.0	shoe_store	shoe_store:8	False
swatch	Swatch	8	0	store	jewelry	0.625	jewelry_store	jewelry_store:5|watch_store:3	False
prenatal	Prénatal	8	1	store	childrens_clothing	0.857	childrens_clothing_store	childrens_clothing_store:6|shopping:1|clothing_store:1	True
artes e	Artes e	8	2	store	arts_and_crafts	0.667	arts_and_crafts	arts_and_crafts:4|shopping:2|linen:1|office_equipment:1	False
papelaria da	Papelaria da	8	1	store	office_equipment	0.714	office_equipment	office_equipment:5|flowers_and_gifts_shop:1|arts_and_crafts:1|shopping:1	False
swarovski boutique	Swarovski Boutique	8	0	store	jewelry	1.0	jewelry_store	jewelry_store:8	True
opticas grandoptical	Ópticas GrandOptical	8	3	store	photography_store_and_services	0.6	photography_store_and_services	photography_store_and_services:3|shopping:3|eyewear_and_optician:2	False
adolfo dominguez	Adolfo Dominguez	8	0	store	clothing	0.875	clothing_store	clothing_store:7|childrens_clothing_store:1	True
optica de	Óptica de	8	1	store	eyewear_and_optician	0.857	eyewear_and_optician	eyewear_and_optician:6|photography_store_and_services:1|shopping:1	False
perfumaria barreiros	Perfumaria Barreiros	8	5	store	beauty	0.667	cosmetic_and_beauty_supplies	shopping:5|cosmetic_and_beauty_supplies:2|clothing_store:1	False
drogaria do	Drogaria do	8	3	store	hardware	0.6	hardware_store	shopping:3|hardware_store:3|home_goods_store:1|wholesale_store:1	False
moveis e	Móveis e	8	0	store	furniture	1.0	furniture_store	furniture_store:8	False
michael kors	Michael Kors	8	0	store	fashion_accessories	0.625	fashion_accessories_store	fashion_accessories_store:5|clothing_store:3	False
optic one	OPTIC One	8	1	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:7|shopping:1	False
opticenter	Opticenter	8	0	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:8	True
wells	Wells	7	1	store	drugstore	0.667	drugstore	drugstore:4|medical_supply:1|eyewear_and_optician:1|shopping:1	True
people s	People's Phone	7	0	store	phone	0.714	mobile_phone_store	mobile_phone_store:5|clothing_store:1|electronics:1	False
david rosas	David Rosas	7	0	store	jewelry	1.0	jewelry_store	jewelry_store:7	True
bang olufsen	Bang &	7	0	store	electronics	1.0	electronics	electronics:7	True
maria bonita	Maria Bonita	7	0	store	clothing	0.714	clothing_store	clothing_store:5|cosmetic_and_beauty_supplies:1|arts_and_crafts:1	False
equivalenza	Equivalenza	7	0	store	beauty	1.0	perfume_store	perfume_store:4|cosmetic_and_beauty_supplies:2|hair_supply_stores:1	False
ponto das	Ponto das	7	1	store	arts_and_crafts	0.667	arts_and_crafts	arts_and_crafts:4|shopping:1|clothing_store:1|fabric_store:1	False
lidl lisboa	Lidl Lisboa	7	0	store	any	1.0	discount_store	discount_store:7	False
mediamarkt portugal	MediaMarkt Portugal	7	0	store	electronics	1.0	electronics	electronics:7	True
darty	Darty	7	0	store	electronics	1.0	electronics	electronics:6|appliance_store:1	True
optica central	Óptica Central	7	1	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:6|shopping:1	False
papelaria a	Papelaria A	7	0	store	office_equipment	0.714	office_equipment	office_equipment:5|toy_store:1|bookstore:1	False
imaginarium	Imaginarium	7	0	store	toys	1.0	toy_store	toy_store:7	True
laskasas	Laskasas	7	0	store	furniture	1.0	furniture_store	furniture_store:7	True
sportino	Sportino	7	0	store	shoes	0.857	shoe_store	shoe_store:6|sporting_goods:1	True
oculista de	Oculista de	7	1	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:6|shopping:1	False
new look	New Look	7	2	store	clothing	0.6	clothing_store	clothing_store:3|womens_clothing_store:2|shopping:2	False
superdecor	Superdecor	7	0	store	furniture	1.0	furniture_store	furniture_store:7	True
lion of	Lion of	7	0	store	clothing	0.714	clothing_store	clothing_store:5|mens_clothing_store:1|boutique:1	False
colchoes companhia	Colchões &	7	0	store	mattress	0.714	mattress_store	mattress_store:5|furniture_store:2	False
ttrw store	TTRW Store	7	0	store	phone	1.0	mobile_phone_store	mobile_phone_store:7	True
vodafone people	Vodafone -	7	0	store	phone	1.0	mobile_phone_store	mobile_phone_store:7	True
bstrong	BStrong	7	0	store	shoes	1.0	shoe_store	shoe_store:7	True
grupotico	Grupótico	7	2	store	photography_store_and_services	0.6	photography_store_and_services	photography_store_and_services:3|shopping:2|eyewear_and_optician:2	False
mercearia da	Mercearia da	6	2	store	health_food	0.75	health_food_store	health_food_store:3|shopping:2|flowers_and_gifts_shop:1	False
cacifo locky	Cacifo Locky	6	4	store	any	1.0	discount_store	shopping:4|discount_store:2	False
tabacaria e	Tabacaria e	6	0	store	tobacco	0.833	tobacco_shop	tobacco_shop:5|office_equipment:1	False
5asec	5àSec	6	0	store	electronics	1.0	appliance_store	appliance_store:6	False
sofrapa loja	Sofrapa |	6	0	store	auto_parts_and_supply	1.0	auto_parts_and_supply_store	auto_parts_and_supply_store:6	False
dunas store	Dunas Store	6	0	store	clothing	0.667	clothing_store	clothing_store:4|boutique:1|shoe_store:1	False
imperio da	Império da	6	1	store	clothing	0.6	clothing_store	clothing_store:3|womens_clothing_store:1|shopping:1|childrens_clothing_store:1	False
tintas cin	Tintas CIN	6	1	store	hardware	0.8	hardware_store	hardware_store:4|wholesale_store:1|shopping:1	True
miminhos da	Miminhos da	6	3	store	arts_and_crafts	1.0	arts_and_crafts	shopping:3|arts_and_crafts:3	False
elegance	Elegance	6	1	store	clothing	0.6	clothing_store	clothing_store:3|cosmetic_and_beauty_supplies:1|womens_clothing_store:1|shopping:1	False
quatro estacoes	Quatro Estações	6	0	store	clothing	0.833	clothing_store	clothing_store:5|boutique:1	False
eurekakids	Eurekakids	6	0	store	toys	1.0	toy_store	toy_store:6	True
pet shop	Pet Shop	6	0	store	pet	1.0	pet_store	pet_store:6	False
moveis d	Moveis d'Alice	6	0	store	furniture	1.0	furniture_store	furniture_store:6	True
sr andarilho	Sr. Andarilho	6	3	store	orthopedic_shoe	1.0	orthopedic_shoe_store	shopping:3|orthopedic_shoe_store:3	True
torres joalheiros	Torres Joalheiros	6	0	store	jewelry	0.833	jewelry_store	jewelry_store:5|clothing_store:1	True
auto acessorios	Auto Acessórios	6	0	store	auto_parts_and_supply	1.0	auto_parts_and_supply_store	auto_parts_and_supply_store:6	False
vans	Vans	6	0	store	shoes	0.667	shoe_store	shoe_store:4|skate_shop:2	False
aldo	Aldo	6	0	store	shoes	1.0	shoe_store	shoe_store:6	True
antiguidades e	Antiguidades e	6	1	store	antique	0.8	antique_store	antique_store:4|shopping:1|arts_and_crafts:1	False
cash converters	Cash Converters	6	1	store	thrift	1.0	thrift_store	thrift_store:5|shopping:1	True
clarks	Clarks	6	0	store	shoes	1.0	shoe_store	shoe_store:6	True
nacional optica	Nacional Optica	6	0	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:6	True
tabacaria papelaria	Tabacaria Papelaria	6	0	store	tobacco	1.0	tobacco_shop	tobacco_shop:6	False
code	CODE	6	0	store	clothing	0.667	clothing_store	clothing_store:4|shoe_store:1|fashion_accessories_store:1	False
centroxogo	Centroxogo	6	0	store	toys	1.0	toy_store	toy_store:6	True
ouro caixa	Ouro Caixa	6	0	store	jewelry	1.0	jewelry_store	jewelry_store:6	False
oculista central	Oculista Central	6	0	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:6	False
welder	Welder	6	0	store	jewelry	1.0	jewelry_store	jewelry_store:6	True
arca de	Arca de	6	1	store	pet	0.6	pet_store	pet_store:2|aquatic_pet_store:1|antique_store:1|shopping:1|childrens_clothing_store:1	False
centrauto	Centrauto	6	0	store	auto_parts_and_supply	1.0	auto_parts_and_supply_store	auto_parts_and_supply_store:6	False
asics	ASICS	6	0	store	sports	1.0	sporting_goods	sporting_goods:4|sports_wear:2	False
nowo	Nowo	6	0	store	electronics	1.0	electronics	electronics:6	True
courir	Courir	6	0	store	shoes	1.0	shoe_store	shoe_store:6	True
note pt	note.pt	6	1	store	furniture	0.8	furniture_store	furniture_store:4|shopping:1|bookstore:1	True
american vintage	American Vintage	6	0	store	clothing	1.0	clothing_store	clothing_store:6	True
livraria almedina	Livraria Almedina	6	0	store	books	1.0	bookstore	bookstore:6	False
montblanc	Montblanc	6	0	store	fashion_accessories	0.667	fashion_accessories_store	fashion_accessories_store:4|jewelry_store:2	False
moveis luis	Móveis Luis	6	0	store	furniture	1.0	furniture_store	furniture_store:6	False
nike	Nike	6	0	store	clothing	0.667	clothing_store	clothing_store:4|sports_wear:1|sporting_goods:1	True
lpoint	Lpoint	6	0	store	shoes	1.0	shoe_store	shoe_store:6	True
