head	display_name	rows	in_shopping	poi_type	store_kind	concentration	majority_category	categories	already_in_dictionary
jose da	José da	4	2	store	hardware	1.0	paint_store	shopping:2|paint_store:1|building_supply_store:1	False
garrafeira d	Garrafeira D.	4	0	store	wine_and_spirits	1.0	liquor_store	liquor_store:4	False
ourivesaria sao	Ourivesaria São	4	0	store	jewelry	1.0	jewelry_store	jewelry_store:4	False
ferrache	Ferrache	4	0	store	clothing	0.75	clothing_store	clothing_store:3|womens_clothing_store:1	False
opticalia brancoptica	Opticalia Brancoptica	4	2	store	photography_store_and_services	1.0	photography_store_and_services	shopping:2|photography_store_and_services:2	True
tentacao do	Tentação do	4	2	store	home	1.0	home_goods_store	shopping:2|home_goods_store:2	False
ourivesaria pinho	Ourivesaria Pinho	4	0	store	jewelry	1.0	jewelry_store	jewelry_store:4	False
ourivesaria sousa	Ourivesaria Sousa	4	0	store	jewelry	1.0	jewelry_store	jewelry_store:4	False
viveiros da	Viveiros da	4	0	store	nursery_and_gardening	1.0	nursery_and_gardening	nursery_and_gardening:4	False
sneakers concept	Sneakers Concept	4	0	store	shoes	0.75	shoe_store	shoe_store:3|clothing_store:1	False
pili carrera	Pili Carrera	4	0	store	childrens_clothing	1.0	childrens_clothing_store	childrens_clothing_store:4	False
petlandia	Petlandia	4	0	store	pet	1.0	pet_store	pet_store:4	False
eurolojas	Eurolojas	4	0	store	any	1.0	discount_store	discount_store:4	False
medical optics	Medical Optics	4	0	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:4	False
sofaszone	SofásZone	4	0	store	furniture	1.0	furniture_store	furniture_store:4	False
sapataria 995	Sapataria 995	4	0	store	shoes	1.0	shoe_store	shoe_store:4	False
ourivesaria j	Ourivesaria J	4	0	store	jewelry	0.75	jewelry_store	jewelry_store:3|flowers_and_gifts_shop:1	False
atola	Atôla	4	0	store	clothing	1.0	clothing_store	clothing_store:4	False
sports world	Sports World	4	0	store	sports	1.0	sports_wear	sports_wear:3|sporting_goods:1	False
traquinas	Traquinas	4	1	store	clothing	0.667	clothing_store	clothing_store:2|shopping:1|childrens_clothing_store:1	False
tendencias moda	Tendências Moda	4	0	store	womens_clothing	0.75	womens_clothing_store	womens_clothing_store:3|clothing_store:1	False
moveis sao	Móveis São	4	0	store	furniture	1.0	furniture_store	furniture_store:4	False
flormar	Flormar	4	1	store	beauty	1.0	cosmetic_and_beauty_supplies	shopping:1|cosmetic_and_beauty_supplies:1|hair_supply_stores:1|perfume_store:1	False
moveis goncalves	Móveis Gonçalves	4	0	store	furniture	0.75	furniture_store	furniture_store:3|home_goods_store:1	False
optica d	Óptica d'Avenida	4	0	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:4	False
moveis costa	Móveis Costa	4	0	store	furniture	0.75	furniture_store	furniture_store:3|home_goods_store:1	False
vida de	Vida de	3	0	store	pet	0.667	pet_store	pet_store:2|liquor_store:1	False
moveis vieira	Móveis Vieira	3	0	store	furniture	1.0	furniture_store	furniture_store:3	False
look fashion	Look Fashion	3	1	store	clothing	1.0	clothing_store	clothing_store:2|shopping:1	False
jardim das	Jardim das	3	0	store	nursery_and_gardening	0.667	nursery_and_gardening	nursery_and_gardening:2|flowers_and_gifts_shop:1	False
adega do	Adega do	3	0	store	wine_and_spirits	1.0	liquor_store	liquor_store:3	False
continente modelo	Continente Modelo	3	1	store	any	1.0	department_store	department_store:1|superstore:1|shopping:1	False
fc in	FC IN	3	0	store	clothing	0.667	clothing_store	clothing_store:2|womens_clothing_store:1	False
sapataria goncalves	Sapataria Gonçalves	3	0	store	shoes	1.0	shoe_store	shoe_store:3	False
jose dias	José Dias	3	0	store	hardware	0.667	building_supply_store	building_supply_store:2|home_and_garden:1	False
modas jacintos	Modas Jacintos	3	0	store	womens_clothing	1.0	womens_clothing_store	womens_clothing_store:3	False
adega da	Adega da	3	0	store	wine_and_spirits	1.0	liquor_store	liquor_store:3	False
diva s	Diva's Cabeleireiro	3	0	store	clothing	0.667	clothing_store	clothing_store:2|shoe_store:1	False
confortauto pneus	Confortauto Pneus	3	0	store	home	1.0	home_goods_store	home_goods_store:3	False
fotosport	Fotosport	3	0	store	photography_store_and_services	1.0	photography_store_and_services	photography_store_and_services:3	False
